Entity,Relationship,Value
Reactive IgM antibody screen result (Finding) (Testing_Algorithm_for_the_Diagnosis_of_Hepatitis_E),triggers,Hepatitis E Virus IgM Antibody Confirmation (Diagnostic Procedure)
Positive IgM antibody confirmation (Finding) (Testing_Algorithm_for_the_Diagnosis_of_Hepatitis_E),indicates,Active hepatitis E virus infection (Disease or Syndrome)
Negative IgM antibody confirmation (Finding) (Testing_Algorithm_for_the_Diagnosis_of_Hepatitis_E),recommends,Hepatitis E Virus RNA Detection and Quantification (Diagnostic Procedure) if abnormal liver enzyme levels persist (Finding)
Negative IgM antibody screen (Finding) (Testing_Algorithm_for_the_Diagnosis_of_Hepatitis_E),recommends,Hepatitis E Virus RNA Detection and Quantification (Diagnostic Procedure) if abnormal liver enzyme levels persist (Finding)
Immunocompromised with unexplained abnormal liver enzyme levels (Finding) (Testing_Algorithm_for_the_Diagnosis_of_Hepatitis_E),requires,Hepatitis E Virus RNA Detection and Quantification (Diagnostic Procedure)
Detected viral load (Finding) (Testing_Algorithm_for_the_Diagnosis_of_Hepatitis_E),indicates,Active hepatitis E virus infection (Disease or Syndrome)
Negative viral load (Finding) (Testing_Algorithm_for_the_Diagnosis_of_Hepatitis_E),indicates,No evidence of active hepatitis E virus infection (Finding)
Normal or near-normal liver enzyme levels (Finding) with possible resolved hepatitis E (Finding) (Testing_Algorithm_for_the_Diagnosis_of_Hepatitis_E),requires,Hepatitis E Virus IgG Antibody (Diagnostic Procedure)
Pediatric Autoimmune Encephalopathy/CNS disorder (Disease or Syndrome) (Pediatric Autoimmune Encephalopathy CNS Disorders Evaluation Algorithm-Spinal Fluid),requires,Immunofluorescence Assay (CBA) (Diagnostic Procedure)
Pediatric Autoimmune Encephalopathy/CNS disorder (Disease or Syndrome) (Pediatric Autoimmune Encephalopathy CNS Disorders Evaluation Algorithm-Spinal Fluid),requires,Immunofluorescence Assay (IFA) (Diagnostic Procedure)
Pediatric Autoimmune Encephalopathy/CNS disorder (Disease or Syndrome) (Pediatric Autoimmune Encephalopathy CNS Disorders Evaluation Algorithm-Spinal Fluid),requires,Radioimmunoprecipitation Assay (RIA) (Diagnostic Procedure)
Pediatric Autoimmune Encephalopathy/CNS disorder (Disease or Syndrome) (Pediatric Autoimmune Encephalopathy CNS Disorders Evaluation Algorithm-Spinal Fluid),requires,Fluorescence-Activated Cell Sorting (FACS) (Diagnostic Procedure)
Immunofluorescence Assay (CBA) (Diagnostic Procedure) (Pediatric Autoimmune Encephalopathy CNS Disorders Evaluation Algorithm-Spinal Fluid),includes detection of,AMPA-R antibody (Finding)
Immunofluorescence Assay (CBA) (Diagnostic Procedure) (Pediatric Autoimmune Encephalopathy CNS Disorders Evaluation Algorithm-Spinal Fluid),includes detection of,NMDA-R antibody (Finding)
Immunofluorescence Assay (CBA) (Diagnostic Procedure) (Pediatric Autoimmune Encephalopathy CNS Disorders Evaluation Algorithm-Spinal Fluid),includes detection of,GABA-B-R antibody (Finding)
Immunofluorescence Assay (CBA) (Diagnostic Procedure) (Pediatric Autoimmune Encephalopathy CNS Disorders Evaluation Algorithm-Spinal Fluid),includes detection of,CASPR2-IgG antibody (Finding)
Immunofluorescence Assay (CBA) (Diagnostic Procedure) (Pediatric Autoimmune Encephalopathy CNS Disorders Evaluation Algorithm-Spinal Fluid),includes detection of,Leucine-rich glioma inactivated protein-1 (LGI1) antibody (Finding)
Immunofluorescence Assay (CBA) (Diagnostic Procedure) (Pediatric Autoimmune Encephalopathy CNS Disorders Evaluation Algorithm-Spinal Fluid),includes detection of,CACNA1A antibody (Finding)
Immunofluorescence Assay (CBA) (Diagnostic Procedure) (Pediatric Autoimmune Encephalopathy CNS Disorders Evaluation Algorithm-Spinal Fluid),includes detection of,DPPX antibody (Finding)
Positive DPPX CBA result (Finding) (Pediatric Autoimmune Encephalopathy CNS Disorders Evaluation Algorithm-Spinal Fluid),triggers performance of,DPPX antibody immunofluorescence titer assay (Diagnostic Procedure)
Positive GABA-B-R result (Finding) (Pediatric Autoimmune Encephalopathy CNS Disorders Evaluation Algorithm-Spinal Fluid),triggers performance of,GABA-B-R IFA titer assay (Diagnostic Procedure)
Positive NMDA-R result (Finding) (Pediatric Autoimmune Encephalopathy CNS Disorders Evaluation Algorithm-Spinal Fluid),triggers performance of,NMDA-R IFA titer assay (Diagnostic Procedure)
Positive AMPA-R result (Finding) (Pediatric Autoimmune Encephalopathy CNS Disorders Evaluation Algorithm-Spinal Fluid),triggers performance of,AMPA-R IFA titer assay (Diagnostic Procedure)
Immunofluorescence Assay (IFA) (Diagnostic Procedure) (Pediatric Autoimmune Encephalopathy CNS Disorders Evaluation Algorithm-Spinal Fluid),includes detection of,Antineuronal nuclear antibody-type 1 (Finding)
Immunofluorescence Assay (IFA) (Diagnostic Procedure) (Pediatric Autoimmune Encephalopathy CNS Disorders Evaluation Algorithm-Spinal Fluid),includes detection of,Purkinje cell cytoplasmic antibody-type Tr (Finding)
Immunofluorescence Assay (IFA) (Diagnostic Procedure) (Pediatric Autoimmune Encephalopathy CNS Disorders Evaluation Algorithm-Spinal Fluid),includes detection of,Glial fibrillary acidic protein (Finding)
Immunofluorescence Assay (IFA) (Diagnostic Procedure) (Pediatric Autoimmune Encephalopathy CNS Disorders Evaluation Algorithm-Spinal Fluid),includes detection of,Ma2 protein (Finding)
Immunofluorescence Assay (IFA) (Diagnostic Procedure) (Pediatric Autoimmune Encephalopathy CNS Disorders Evaluation Algorithm-Spinal Fluid),includes detection of,Neurochondrin antibody (Finding)
IFA pattern suggesting ANNA-1 (Finding) (Pediatric Autoimmune Encephalopathy CNS Disorders Evaluation Algorithm-Spinal Fluid),triggers performance of,ANNA-1 immunoblot (Diagnostic Procedure)
IFA pattern suggesting ANNA-1 (Finding) (Pediatric Autoimmune Encephalopathy CNS Disorders Evaluation Algorithm-Spinal Fluid),triggers performance of,ANNA-2 immunoblot (Diagnostic Procedure)
IFA pattern suggesting ANNA-1 (Finding) (Pediatric Autoimmune Encephalopathy CNS Disorders Evaluation Algorithm-Spinal Fluid),triggers performance of,ANNA-1 IFA titer assay (Diagnostic Procedure)
IFA pattern suggesting PCA-Tr (Finding) (Pediatric Autoimmune Encephalopathy CNS Disorders Evaluation Algorithm-Spinal Fluid),triggers performance of,PCA-Tr immunoblot (Diagnostic Procedure)
IFA pattern suggesting PCA-Tr (Finding) (Pediatric Autoimmune Encephalopathy CNS Disorders Evaluation Algorithm-Spinal Fluid),triggers performance of,PCA-Tr IFA titer assay (Diagnostic Procedure)
IFA pattern suggesting GFAP antibody (Finding) (Pediatric Autoimmune Encephalopathy CNS Disorders Evaluation Algorithm-Spinal Fluid),triggers performance of,GFAP alpha subunit antibody CBA (Diagnostic Procedure)
IFA pattern suggesting GFAP antibody (Finding) (Pediatric Autoimmune Encephalopathy CNS Disorders Evaluation Algorithm-Spinal Fluid),triggers performance of,GFAP alpha subunit antibody IFA titer assay (Diagnostic Procedure)
IFA pattern suggesting mGluR1 antibody (Finding) (Pediatric Autoimmune Encephalopathy CNS Disorders Evaluation Algorithm-Spinal Fluid),triggers performance of,mGluR1 antibody CBA (Diagnostic Procedure)
IFA pattern suggesting mGluR1 antibody (Finding) (Pediatric Autoimmune Encephalopathy CNS Disorders Evaluation Algorithm-Spinal Fluid),triggers performance of,mGluR1 antibody IF titer assay (Diagnostic Procedure)
IFA pattern suggesting Neurochondrin antibody (Finding) (Pediatric Autoimmune Encephalopathy CNS Disorders Evaluation Algorithm-Spinal Fluid),triggers performance of,Neurochondrin antibody CBA (Diagnostic Procedure)
IFA pattern suggesting Neurochondrin antibody (Finding) (Pediatric Autoimmune Encephalopathy CNS Disorders Evaluation Algorithm-Spinal Fluid),triggers performance of,Neurochondrin antibody IF titer assay (Diagnostic Procedure)
Radioimmunoprecipitation Assay (RIA) (Diagnostic Procedure) (Pediatric Autoimmune Encephalopathy CNS Disorders Evaluation Algorithm-Spinal Fluid),includes measurement of,Glutamic acid decarboxylase (GAD65) antibody (Finding)
Fluorescence-Activated Cell Sorting (FACS) (Diagnostic Procedure) (Pediatric Autoimmune Encephalopathy CNS Disorders Evaluation Algorithm-Spinal Fluid),includes detection of,Neuromyelitis optica/aquaporin-4-IgG (NMO/AQP4-IgG) (Finding)
Positive NMO/AQP4-IgG result (Finding) (Pediatric Autoimmune Encephalopathy CNS Disorders Evaluation Algorithm-Spinal Fluid),triggers performance of,NMO/AQP4-IgG FACS titer assay (Diagnostic Procedure)
"OLIGO: characteristic profile with normal CT, MPS, S, SA (Finding) (Lysosomal-Disorders-Screen-Interpretive)",suggests,α-Mannosidosis (Disease or Syndrome)
"OLIGO: characteristic profile with normal CT, MPS, S, SA (Finding) (Lysosomal-Disorders-Screen-Interpretive)",suggests,β-Mannosidosis (Disease or Syndrome)
"OLIGO: characteristic profile with normal CT, MPS, S, SA (Finding) (Lysosomal-Disorders-Screen-Interpretive)",suggests,α-Mucopolysaccharidosis (Disease or Syndrome)
"OLIGO: characteristic profile with normal CT, MPS, S, SA (Finding) (Lysosomal-Disorders-Screen-Interpretive)",suggests,Gaucher disease (Disease or Syndrome)
"OLIGO: characteristic profile with normal CT, MPS, S, SA (Finding) (Lysosomal-Disorders-Screen-Interpretive)",suggests,Sandhoff disease (Disease or Syndrome)
"OLIGO: characteristic profile with normal CT, MPS, S, SA (Finding) (Lysosomal-Disorders-Screen-Interpretive)",suggests,Schindler disease (Disease or Syndrome)
"OLIGO: characteristic profile with normal CT, MPS, S, SA (Finding) (Lysosomal-Disorders-Screen-Interpretive)",suggests,GM1 gangliosidosis (Disease or Syndrome)
"OLIGO: characteristic profile with normal CT, MPS, S, SA (Finding) (Lysosomal-Disorders-Screen-Interpretive)",suggests,Galactosialidosis (Disease or Syndrome)
"OLIGO: characteristic profile with normal CT, MPS, S, SA (Finding) (Lysosomal-Disorders-Screen-Interpretive)",suggests,Fucosidosis (Disease or Syndrome)
"OLIGO: characteristic profile with normal CT, MPS, S, SA (Finding) (Lysosomal-Disorders-Screen-Interpretive)",suggests,MPS IIIB (Disease or Syndrome)
"OLIGO: characteristic profile with normal CT, MPS, S, SA (Finding) (Lysosomal-Disorders-Screen-Interpretive)",suggests,GM1 gangliosidosis (Disease or Syndrome)
"OLIGO: characteristic profile with normal CT, MPS, S, SA (Finding) (Lysosomal-Disorders-Screen-Interpretive)",suggests,MPS II (Disease or Syndrome)
"OLIGO: characteristic profile with normal CT, MPS, S, SA (Finding) (Lysosomal-Disorders-Screen-Interpretive)",suggests,NSYL1 deficiency (Disease or Syndrome)
"OLIGO: characteristic profile with normal CT, MPS, S, SA (Finding) (Lysosomal-Disorders-Screen-Interpretive)",suggests,MOGS-CDG (Disease or Syndrome)
"OLIGO: MLII/III profile with normal/abnormal CT, MPS, S, normal SA (Finding) (Lysosomal-Disorders-Screen-Interpretive)",suggests,Mucolipidosis II/III (Disease or Syndrome)
"S abnormal with normal CT, MPS, OLIGO, SA (Finding) (Lysosomal-Disorders-Screen-Interpretive)",suggests,Metachromatic leukodystrophy (Disease or Syndrome)
"CT and S abnormal with normal MPS, OLIGO, SA (Finding) (Lysosomal-Disorders-Screen-Interpretive)",suggests,Prosaposin/Rabson-Mendenhall syndrome (Disease or Syndrome)
"MPS and S abnormal with normal OLIGO, SA (Finding) (Lysosomal-Disorders-Screen-Interpretive)",suggests,Fatty Disease (Disease or Syndrome)
"MPS abnormal with normal CT, SA and normal/abnormal OLIGO (Finding) (Lysosomal-Disorders-Screen-Interpretive)",suggests,Multiple sulfatase deficiency (Disease or Syndrome)
Elevated KS with OLIGO: MPS IVB profile (Finding) (Lysosomal-Disorders-Screen-Interpretive),suggests,MPS IVB (Disease or Syndrome)
Elevated KS with OLIGO: GM1 gangliosidosis profile (Finding) (Lysosomal-Disorders-Screen-Interpretive),suggests,GM1 gangliosidosis (Disease or Syndrome)
Elevated KS with OLIGO: α-Fucosidosis profile (Finding) (Lysosomal-Disorders-Screen-Interpretive),suggests,α-Fucosidosis (Disease or Syndrome)
Elevated KS with OLIGO: Galactosialidosis profile (Finding) (Lysosomal-Disorders-Screen-Interpretive),suggests,Galactosialidosis (Disease or Syndrome)
Elevated KS and CS with OLIGO: MPS IVA profile (Finding) (Lysosomal-Disorders-Screen-Interpretive),suggests,MPS IVA (Disease or Syndrome)
"Elevated DS and HS with MPS abnormal, normal CT, S, SA and normal/abnormal OLIGO (Finding) (Lysosomal-Disorders-Screen-Interpretive)",suggests,MPS I (Disease or Syndrome)
"Elevated DS and HS with MPS abnormal, normal CT, S, SA and normal/abnormal OLIGO (Finding) (Lysosomal-Disorders-Screen-Interpretive)",suggests,MPS II (Disease or Syndrome)
"Elevated DS with MPS abnormal, normal CT, S, SA and normal/abnormal OLIGO (Finding) (Lysosomal-Disorders-Screen-Interpretive)",suggests,MPS VI (Disease or Syndrome)
"Elevated HS with MPS abnormal, normal CT, S, SA and normal/abnormal OLIGO (Finding) (Lysosomal-Disorders-Screen-Interpretive)",suggests,"MPS IIIA, IIIB, IIIC, or IIID (Disease or Syndrome)"
"Elevated DS, HS, and CS with MPS abnormal, normal CT, S, SA and normal/abnormal OLIGO (Finding) (Lysosomal-Disorders-Screen-Interpretive)",suggests,MPS VII (Disease or Syndrome)
"SA abnormal with normal CT, MPS and normal/abnormal OLIGO (Finding) (Lysosomal-Disorders-Screen-Interpretive)",suggests,Free sialic acid storage disorder (Disease or Syndrome)
"SA abnormal with normal CT, MPS and normal/abnormal OLIGO (Finding) (Lysosomal-Disorders-Screen-Interpretive)",suggests,Sialuria (Disease or Syndrome)
Elevated C8 acylcarnitine with lesser elevations of C6 and C10 (Finding) (Newborn-Screen-Elevated-C8-Acylcarnitine-Lesser-Elevations-C6-C10-Acylcarnitines),prompts,"Measurement of glucose, electrolytes, blood gas, and liver function (Diagnostic Procedure)"
Elevated C8 acylcarnitine with lesser elevations of C6 and C10 (Finding) (Newborn-Screen-Elevated-C8-Acylcarnitine-Lesser-Elevations-C6-C10-Acylcarnitines),prompts,"Organic acids screen, random urine (Diagnostic Procedure)"
Elevated C8 acylcarnitine with lesser elevations of C6 and C10 (Finding) (Newborn-Screen-Elevated-C8-Acylcarnitine-Lesser-Elevations-C6-C10-Acylcarnitines),prompts,"Acylglycines, quantitative, random urine (Diagnostic Procedure)"
Elevated C8 acylcarnitine with lesser elevations of C6 and C10 (Finding) (Newborn-Screen-Elevated-C8-Acylcarnitine-Lesser-Elevations-C6-C10-Acylcarnitines),prompts,"Acylcarnitines, quantitative, plasma or serum (Diagnostic Procedure)"
Results consistent with medium-chain acyl-coenzyme A dehydrogenase deficiency (Disease or Syndrome) (Newborn-Screen-Elevated-C8-Acylcarnitine-Lesser-Elevations-C6-C10-Acylcarnitines),indicates need for,Custom gene panel for ACADM (Diagnostic Procedure)
Normal results (Finding) (Newborn-Screen-Elevated-C8-Acylcarnitine-Lesser-Elevations-C6-C10-Acylcarnitines),indicates,Stop (Action)
Elevated keratan sulfate (Finding) (Lysosomal-Disorders-Diagnostic-Algorithm-Part1),suggests,MPS IVB (Morquio syndrome type B) (Disease or Syndrome)
MPS IVB (Morquio syndrome type B) (Disease or Syndrome) (Lysosomal-Disorders-Diagnostic-Algorithm-Part1),requires,"Beta-galactosidase, Leukocytes (Diagnostic Procedure)"
MPS IVB (Morquio syndrome type B) (Disease or Syndrome) (Lysosomal-Disorders-Diagnostic-Algorithm-Part1),requires,MPS+W (Diagnostic Procedure)
Deficient beta-galactosidase activity (Finding) (Lysosomal-Disorders-Diagnostic-Algorithm-Part1),triggers,GLB1 gene analysis (Diagnostic Procedure)
Elevated keratan sulfate (Finding) (Lysosomal-Disorders-Diagnostic-Algorithm-Part1),suggests,GM1 gangliosidosis (Disease or Syndrome)
GM1 gangliosidosis (Disease or Syndrome) (Lysosomal-Disorders-Diagnostic-Algorithm-Part1),requires,"Beta-galactosidase, Leukocytes (Diagnostic Procedure)"
GM1 gangliosidosis (Disease or Syndrome) (Lysosomal-Disorders-Diagnostic-Algorithm-Part1),requires,MPS+W (Diagnostic Procedure)
Deficient beta-galactosidase activity (Finding) (Lysosomal-Disorders-Diagnostic-Algorithm-Part1),triggers,GLB1 gene analysis (Diagnostic Procedure)
Elevated keratan sulfate (Finding) (Lysosomal-Disorders-Diagnostic-Algorithm-Part1),suggests,Alpha-fucosidosis (Disease or Syndrome)
Alpha-fucosidosis (Disease or Syndrome) (Lysosomal-Disorders-Diagnostic-Algorithm-Part1),requires,"Alpha-fucosidase, Leukocytes (Diagnostic Procedure)"
Deficient alpha-fucosidase activity (Finding) (Lysosomal-Disorders-Diagnostic-Algorithm-Part1),confirms,Alpha-fucosidosis (Disease or Syndrome)
Deficient alpha-fucosidase activity (Finding) (Lysosomal-Disorders-Diagnostic-Algorithm-Part1),triggers,FUCA1 gene analysis (Diagnostic Procedure)
Elevated keratan sulfate (Finding) (Lysosomal-Disorders-Diagnostic-Algorithm-Part1),suggests,Galactosialidosis (Disease or Syndrome)
Galactosialidosis (Disease or Syndrome) (Lysosomal-Disorders-Diagnostic-Algorithm-Part1),triggers,CTSA gene analysis (Diagnostic Procedure)
Elevated dermatan sulfate and heparan sulfate (Finding) (Lysosomal-Disorders-Diagnostic-Algorithm-Part1),suggests,MPS I (Hurler syndrome) (Disease or Syndrome)
Elevated dermatan sulfate and heparan sulfate (Finding) (Lysosomal-Disorders-Diagnostic-Algorithm-Part1),suggests,MPS II (Hunter syndrome) (Disease or Syndrome)
MPS I (Hurler syndrome) (Disease or Syndrome) (Lysosomal-Disorders-Diagnostic-Algorithm-Part1),requires,"Alpha-L-iduronidase, Leukocytes (Diagnostic Procedure)"
Deficient alpha-L-iduronidase activity (Finding) (Lysosomal-Disorders-Diagnostic-Algorithm-Part1),confirms,MPS I (Hurler syndrome) (Disease or Syndrome)
Deficient alpha-L-iduronidase activity (Finding) (Lysosomal-Disorders-Diagnostic-Algorithm-Part1),triggers,Hurler syndrome gene analysis (Diagnostic Procedure)
MPS II (Hunter syndrome) (Disease or Syndrome) (Lysosomal-Disorders-Diagnostic-Algorithm-Part1),requires,MPS4W or MPS4B (Diagnostic Procedure)
Deficient MPS4W or MPS4B enzyme activity (Finding) (Lysosomal-Disorders-Diagnostic-Algorithm-Part1),confirms,MPS II (Hunter syndrome) (Disease or Syndrome)
Deficient MPS4W or MPS4B enzyme activity (Finding) (Lysosomal-Disorders-Diagnostic-Algorithm-Part1),triggers,GALNS gene analysis (Diagnostic Procedure)
Elevated dermatan sulfate (Finding) (Lysosomal-Disorders-Diagnostic-Algorithm-Part1),suggests,MPS VI (Disease or Syndrome)
MPS VI (Disease or Syndrome) (Lysosomal-Disorders-Diagnostic-Algorithm-Part1),triggers,ARSB gene analysis (Diagnostic Procedure)
"Elevated dermatan sulfate, heparan sulfate, and chondroitin 6-sulfate (Finding) (Lysosomal-Disorders-Diagnostic-Algorithm-Part1)",suggests,MPS VII (Disease or Syndrome)
MPS VII (Disease or Syndrome) (Lysosomal-Disorders-Diagnostic-Algorithm-Part1),triggers,GUSB gene analysis (Diagnostic Procedure)
Elevated heparan sulfate (Finding) (Lysosomal-Disorders-Diagnostic-Algorithm-Part1),suggests,"MPS III A, B, C, D (Disease or Syndrome)"
MPS III (Disease or Syndrome) (Lysosomal-Disorders-Diagnostic-Algorithm-Part1),requires,"MPSIII Four Enzyme Panel, Leukocytes (Diagnostic Procedure)"
Deficient MPSIII enzyme activity (Finding) (Lysosomal-Disorders-Diagnostic-Algorithm-Part1),triggers,"SGSH, NAGLU, HGSNAT, GNS gene analysis (Diagnostic Procedure)"
Normal LSDS screen (Finding) (Lysosomal-Disorders-Diagnostic-Algorithm-Part1),concludes,Testing complete (Procedure)
All initial testing within reference ranges (Finding) (Thrombophilia_Profile),indicates,No evidence of thrombotic diathesis (Disease or Syndrome)
No evidence of thrombotic diathesis (Disease or Syndrome) (Thrombophilia_Profile),leads_to,No further testing (Laboratory Procedure)
PT ≥14.0 seconds (Finding) (Thrombophilia_Profile),requires,PT Mix 1:1 (Laboratory Procedure)
PT Mix 1:1 ≥14.0 seconds (Finding) (Thrombophilia_Profile),indicates,Inhibition (Finding)
PT Mix 1:1 <14.0 seconds (Finding) (Thrombophilia_Profile),indicates,Coagulation factor deficiency (Disease or Syndrome)
APTT >37 seconds (Finding) (Thrombophilia_Profile),requires,APTT Mix 1:1 (Laboratory Procedure)
APTT Mix 1:1 with inhibition (Finding) (Thrombophilia_Profile),excludes,Heparin effect (Finding)
No evidence of heparin in sample (Finding) (Thrombophilia_Profile),prompts,Platelet neutralization procedure (Laboratory Procedure)
PNP does not shorten (Finding) (Thrombophilia_Profile),suggests,Possible factor inhibitor (Finding)
PNP shortens by ≥4–5 seconds (Finding) (Thrombophilia_Profile),suggests,Probable lupus anticoagulant (Disease or Syndrome)
D-Dimer >500 ng/mL (Finding) (Thrombophilia_Profile),indicates,Soluble fibrin monomer (Finding)
Fibrinogen <150 mg/dL (Finding) (Thrombophilia_Profile),requires,PT-Fibrinogen (Laboratory Procedure)
DRVVT ≥1.20 (Finding) (Thrombophilia_Profile),requires,DRVVT Mix and DRVVT Confirm (Laboratory Procedure)
DRVVT Mix ≥1.20 and DRVVT Confirm ≥1.20 (Finding) (Thrombophilia_Profile),indicates,Probable lupus anticoagulant (Disease or Syndrome)
DRVVT Mix <1.20 and DRVVT Confirm ≥1.20 (Finding) (Thrombophilia_Profile),indicates,Probable lupus anticoagulant (Disease or Syndrome)
DRVVT Mix ≥1.20 and DRVVT Confirm <1.20 (Finding) (Thrombophilia_Profile),rules_out,Diagnostic lupus anticoagulant (Disease or Syndrome)
DRVVT Mix ≥1.20 and DRVVT Confirm <1.20 (Finding) (Thrombophilia_Profile),suggests,Coagulation factor deficiency or anticoagulation effect (Finding)
DRVVT Mix <1.20 and DRVVT Confirm <1.20 (Finding) (Thrombophilia_Profile),rules_out,Diagnostic lupus anticoagulant (Disease or Syndrome)
DRVVT Mix <1.20 and DRVVT Confirm <1.20 (Finding) (Thrombophilia_Profile),suggests,Coagulation factor deficiency or anticoagulation effect (Finding)
Thrombin Time >24.9 seconds (Finding) (Thrombophilia_Profile),requires,Reptilase Time (Laboratory Procedure)
Reptilase Time 14.0–23.9 seconds (Finding) (Thrombophilia_Profile),indicates,Anticoagulant effect (Finding)
Reptilase Time >23.9 seconds (Finding) (Thrombophilia_Profile),suggests,Possible dys/hypofibrinogenemia (Disease or Syndrome)
APCRV ratio <2.3 or indeterminate (Finding) (Thrombophilia_Profile),requires,Factor V Leiden mutation test (Diagnostic Procedure)
Protein C <70% with PT ≤12.5 seconds (Finding) (Thrombophilia_Profile),requires,Protein C antigen (Laboratory Procedure)
"Protein S Antigen, Free below reference range (Finding) (Thrombophilia_Profile)",indicates,Possible protein S deficiency (Disease or Syndrome)
Antithrombin Activity <80% with no acquired deficiency (Finding) (Thrombophilia_Profile),requires,Antithrombin antigen test (Laboratory Procedure)
Elevated tyrosine (Finding) + Normal succinylacetone (Finding) (Newborn_Screen_Followup_Elevated_Tyrosine_Normal_Succinylacetone),requires,Glucose measurement (Diagnostic Procedure)
Elevated tyrosine (Finding) + Normal succinylacetone (Finding) (Newborn_Screen_Followup_Elevated_Tyrosine_Normal_Succinylacetone),requires,Electrolytes measurement (Diagnostic Procedure)
Elevated tyrosine (Finding) + Normal succinylacetone (Finding) (Newborn_Screen_Followup_Elevated_Tyrosine_Normal_Succinylacetone),requires,Liver function tests (Diagnostic Procedure)
Elevated tyrosine (Finding) + Normal succinylacetone (Finding) (Newborn_Screen_Followup_Elevated_Tyrosine_Normal_Succinylacetone),requires,Plasma amino acids measurement (Diagnostic Procedure)
Elevated tyrosine (Finding) + Normal LFT (Finding) (Newborn_Screen_Followup_Elevated_Tyrosine_Normal_Succinylacetone),is consistent with,Tyrosinemia type II (Disease or Syndrome)
Elevated tyrosine (Finding) + Normal LFT (Finding) (Newborn_Screen_Followup_Elevated_Tyrosine_Normal_Succinylacetone),is consistent with,Tyrosinemia type III (Disease or Syndrome)
Elevated tyrosine (Finding) + Normal LFT (Finding) (Newborn_Screen_Followup_Elevated_Tyrosine_Normal_Succinylacetone),is consistent with,Transient tyrosinemia of the neonate (Disease or Syndrome)
Elevated tyrosine (Finding) + Normal LFT (Finding) (Newborn_Screen_Followup_Elevated_Tyrosine_Normal_Succinylacetone),is consistent with,Other tyrosine disorders (Disease or Syndrome)
Suspected tyrosinemia or tyrosine disorders (Disease or Syndrome) (Newborn_Screen_Followup_Elevated_Tyrosine_Normal_Succinylacetone),requires,"Gene Panel, Variants (Diagnostic Procedure)"
Elevated tyrosine (Finding) + Elevated LFT (Finding) (Newborn_Screen_Followup_Elevated_Tyrosine_Normal_Succinylacetone),requires,Evaluation for liver dysfunction (Diagnostic Procedure)
Normal tyrosine (Finding) + Normal LFT (Finding) (Newborn_Screen_Followup_Elevated_Tyrosine_Normal_Succinylacetone),indicates,False-positive newborn screen (Finding)
Decreased galactocerebrosidase (Finding) (Newborn_Screen_Follow-up_for_Krabbe_Disease_Galactocerebrosidase),prompts,"Galactocerebrosidase, Leukocytes test (Diagnostic Procedure)"
Decreased galactocerebrosidase (Finding) (Newborn_Screen_Follow-up_for_Krabbe_Disease_Galactocerebrosidase),prompts,"Psychosine, Whole Blood test (Diagnostic Procedure)"
Decreased galactocerebrosidase (Finding) (Newborn_Screen_Follow-up_for_Krabbe_Disease_Galactocerebrosidase),prompts,"Krabbe Disease, Full Gene Analysis (Diagnostic Procedure)"
Non-informative sequencing (Finding) (Newborn_Screen_Follow-up_for_Krabbe_Disease_Galactocerebrosidase),prompts,GALC deletion/duplication analysis (Diagnostic Procedure)
GALC deficiency (Finding) (Newborn_Screen_Follow-up_for_Krabbe_Disease_Galactocerebrosidase),associated_with,Elevated Psychosine (Finding)
Elevated Psychosine (Finding) (Newborn_Screen_Follow-up_for_Krabbe_Disease_Galactocerebrosidase),along_with,Genotype consistent with Krabbe disease (Finding)
Infantile Krabbe disease (Disease or Syndrome) (Newborn_Screen_Follow-up_for_Krabbe_Disease_Galactocerebrosidase),requires,Referral to Genetics Specialist (Healthcare Activity)
Infantile Krabbe disease (Disease or Syndrome) (Newborn_Screen_Follow-up_for_Krabbe_Disease_Galactocerebrosidase),requires,Referral to hematopoietic stem cell transplant center (Healthcare Activity)
Genotype suggestive of Krabbe disease (Finding) (Newborn_Screen_Follow-up_for_Krabbe_Disease_Galactocerebrosidase),prompts,Referral to Genetics Specialist (Healthcare Activity)
Genotype suggestive of Krabbe disease (Finding) (Newborn_Screen_Follow-up_for_Krabbe_Disease_Galactocerebrosidase),requires,Regular monitoring for Krabbe disease (Healthcare Activity)
Genotype not consistent with Krabbe disease (Finding) (Newborn_Screen_Follow-up_for_Krabbe_Disease_Galactocerebrosidase),suggests,Saposin A deficiency (Disease or Syndrome)
Saposin A deficiency (Disease or Syndrome) (Newborn_Screen_Follow-up_for_Krabbe_Disease_Galactocerebrosidase),prompts,Custom Gene Panel analysis (Diagnostic Procedure)
Normal Psychosine (Finding) with abnormal or normal GALC (Finding) (Newborn_Screen_Follow-up_for_Krabbe_Disease_Galactocerebrosidase),indicates,False-positive newborn screen (Finding)
Newborn screening (Diagnostic Procedure) (Newborn_Screen_Followup_Elevated_Normal_Tyrosine_Elevated_Succinylacetone),detects,Elevated or normal Tyrosine (Finding)
Newborn screening (Diagnostic Procedure) (Newborn_Screen_Followup_Elevated_Normal_Tyrosine_Elevated_Succinylacetone),detects,Elevated Succinylacetone (Finding)
Elevated or normal Tyrosine and Elevated Succinylacetone (Finding) (Newborn_Screen_Followup_Elevated_Normal_Tyrosine_Elevated_Succinylacetone),require,Glucose (Diagnostic Procedure)
